trip_id,driver_id,date,stop_number,location_id,store_name,latitude,longitude,arrival_time,visit_duration_min,distance_to_next_km,travel_time_to_next_min
1,D1,2026-04-01,1,L1,Ratnadeep Supermarket,17.455771,78.212505,09:00,14,10.82,16.2
1,D1,2026-04-01,2,L25,IKEA Hyderabad,17.360466,78.233094,09:44,37,44.79,67.2
1,D1,2026-04-01,3,L40,Apollo Health City,17.588755,78.580981,11:34,18,33.07,49.6
1,D1,2026-04-01,4,L31,Cafe Niloufer,17.59893,78.269166,12:48,25,37.58,56.4
1,D1,2026-04-01,5,L33,Pista House,17.261137,78.279991,14:21,25,20.01,30.0
1,D1,2026-04-01,6,L39,Apollo Pharmacy,17.373906,78.426862,15:31,22,0.0,0.0
2,D2,2026-04-01,1,L48,Decathlon Madhapur,17.57878,78.242827,09:00,40,20.27,30.4
2,D2,2026-04-01,2,L19,South India Shopping Mall,17.454274,78.382416,10:15,12,7.45,11.2
2,D2,2026-04-01,3,L57,Joyalukkas,17.435323,78.315057,10:44,21,0.0,0.0
3,D3,2026-04-01,1,L32,Karachi Bakery,17.236364,78.223558,09:15,17,38.09,57.1
3,D3,2026-04-01,2,L43,Naturals Salon,17.261136,78.581255,10:43,27,39.5,59.2
3,D3,2026-04-01,3,L35,Roastery Coffee House,17.598449,78.464557,12:16,21,12.35,18.5
3,D3,2026-04-01,4,L53,Bata Shoe Store,17.571565,78.577633,13:09,25,31.7,47.5
3,D3,2026-04-01,5,L57,Joyalukkas,17.435323,78.315057,14:37,28,0.0,0.0
4,D4,2026-04-01,1,L32,Karachi Bakery,17.236364,78.223558,08:45,17,23.97,36.0
4,D4,2026-04-01,2,L21,Bajaj Electronics,17.443652,78.285569,09:47,13,24.2,36.3
4,D4,2026-04-01,3,L60,Lalitha Jewellery,17.228343,78.319002,10:47,25,36.18,54.3
4,D4,2026-04-01,4,L18,Kalanikethan Kukatpally,17.546593,78.390063,12:13,12,37.56,56.3
4,D4,2026-04-01,5,L11,Inorbit Mall Shoppers Stop,17.237098,78.248358,13:27,10,30.65,46.0
4,D4,2026-04-01,6,L45,Lakme Salon,17.439578,78.444303,14:34,27,17.8,26.7
4,D4,2026-04-01,7,L35,Roastery Coffee House,17.598449,78.464557,15:37,35,0.0,0.0
5,D5,2026-04-01,1,L5,Reliance Smart Jubilee,17.287455,78.452678,10:30,29,24.82,37.2
5,D5,2026-04-01,2,L21,Bajaj Electronics,17.443652,78.285569,11:45,33,3.26,4.9
5,D5,2026-04-01,3,L57,Joyalukkas,17.435323,78.315057,12:33,35,12.04,18.1
5,D5,2026-04-01,4,L25,IKEA Hyderabad,17.360466,78.233094,13:41,39,0.0,0.0
6,D6,2026-04-01,1,L48,Decathlon Madhapur,17.57878,78.242827,09:15,35,20.27,30.4
6,D6,2026-04-01,2,L19,South India Shopping Mall,17.454274,78.382416,10:34,36,7.45,11.2
6,D6,2026-04-01,3,L57,Joyalukkas,17.435323,78.315057,11:27,25,0.0,0.0
7,D7,2026-04-01,1,L48,Decathlon Madhapur,17.57878,78.242827,08:15,20,20.27,30.4
7,D7,2026-04-01,2,L19,South India Shopping Mall,17.454274,78.382416,09:12,22,7.45,11.2
7,D7,2026-04-01,3,L57,Joyalukkas,17.435323,78.315057,10:00,11,0.0,0.0
