location_id,store_name,latitude,longitude,zone
L1,Store_1,17.455771,78.212505,East
L2,Store_2,17.297957,78.269769,North
L3,Store_3,17.47068,78.64609,North
L4,Store_4,17.436197,78.215891,North
L5,Store_5,17.287455,78.452678,North
L6,Store_6,17.424498,78.55801,Central
L7,Store_7,17.367808,78.424605,East
L8,Store_8,17.523772,78.203249,South
L9,Store_9,17.479256,78.370125,South
L10,Store_10,17.286126,78.581747,North
L11,Store_11,17.237098,78.248358,East
L12,Store_12,17.44149,78.603564,West
L13,Store_13,17.414491,78.686558,West
L14,Store_14,17.23152,78.346589,Central
L15,Store_15,17.554181,78.380818,South
L16,Store_16,17.481829,78.222912,South
L17,Store_17,17.509227,78.692611,South
L18,Store_18,17.546593,78.390063,West
L19,Store_19,17.454274,78.382416,East
L20,Store_20,17.342108,78.535088,North
L21,Store_21,17.443652,78.285569,South
L22,Store_22,17.265361,78.389728,Central
L23,Store_23,17.287846,78.362141,North
L24,Store_24,17.291619,78.21605,East
L25,Store_25,17.360466,78.233094,Central
L26,Store_26,17.550547,78.357339,West
L27,Store_27,17.358253,78.657274,West
L28,Store_28,17.257149,78.269815,Central
L29,Store_29,17.415591,78.573507,West
L30,Store_30,17.559129,78.3997,South
L31,Store_31,17.59893,78.269166,West
L32,Store_32,17.236364,78.223558,North
L33,Store_33,17.261137,78.279991,West
L34,Store_34,17.438564,78.392384,Central
L35,Store_35,17.598449,78.464557,Central
L36,Store_36,17.544312,78.205741,North
L37,Store_37,17.472684,78.468485,East
L38,Store_38,17.507439,78.370088,East
L39,Store_39,17.373906,78.426862,East
L40,Store_40,17.588755,78.580981,Central
L41,Store_41,17.565051,78.635259,East
L42,Store_42,17.536668,78.453831,South
L43,Store_43,17.261136,78.581255,Central
L44,Store_44,17.5814,78.661217,North
L45,Store_45,17.439578,78.444303,North
L46,Store_46,17.571639,78.639361,East
L47,Store_47,17.295781,78.320436,Central
L48,Store_48,17.57878,78.242827,West
L49,Store_49,17.526409,78.688992,Central
L50,Store_50,17.506334,78.264196,West
L51,Store_51,17.578739,78.282563,Central
L52,Store_52,17.548973,78.411569,South
L53,Store_53,17.571565,78.577633,South
L54,Store_54,17.48518,78.399496,East
L55,Store_55,17.37524,78.458788,North
L56,Store_56,17.299162,78.232013,North
L57,Store_57,17.435323,78.315057,South
L58,Store_58,17.202876,78.55392,North
L59,Store_59,17.291577,78.65271,East
L60,Store_60,17.228343,78.319002,West
